Literature, C (wt%),Mn (wt%),Si  (wt%),Mo  (wt%),Nb (wt%),Ni  (wt%),Cr (wt%),Cu (wt%),Al  (wt%),N  (wt%),P  (wt%),S  (wt%),O  (wt%),Ti (wt%),Fe (wt %),Thickness (mm),Heating Rate(degC/s),IA Temp (deg C),Holding Time (sec),Martensite,Ferrite,TE (%),YS(Mpa),UTS(Mpa)
doi:10.1016/j.actamat.2010.10.002,0.17,1.49,0.22,0,0,0,0,0,0.033,0.0033,0.0017,0.0031,0,0,98.0789,40,30,780,3000,0.313,0.687,7.7,445,870
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,0,0.85,0.15,8.9,360,621
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,10,0.82,0.18,7.3,362,620
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,15,0.79,0.21,11.4,365,620
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,30,0.75,0.25,6,366,675
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,60,0.72,0.28,8,368,610
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,480,0.69,0.31,10,370,612
https://doi.org/10.1007/s11661-997-0164-9,0.066,1.46,0.34,0,0.022,0.45,0,0,0.037,0.0074,0.01,0.002,0,0,97.6056,15,20,730,900,0.67,0.33,4,373,615
https://doi.org/10.1007/s11661-997-0164-9,0.048,0.6,0.38,0,0.02,0,0,0,0.034,0.0066,0.008,0.002,0,0,98.9014,15,20,730,0,0.985,0.015,8,425,565
https://doi.org/10.1007/s11661-997-0164-9,0.048,0.6,0.38,0,0.02,0,0,0,0.034,0.0066,0.008,0.002,0,0,98.9014,15,20,730,15,0.96,0.04,14,410,560
https://doi.org/10.1007/s11661-997-0164-9,0.048,0.6,0.38,0,0.02,0,0,0,0.034,0.0066,0.008,0.002,0,0,98.9014,15,20,730,30,0.94,0.06,20,306,580
https://doi.org/10.1007/s11661-997-0164-9,0.048,0.6,0.38,0,0.02,0,0,0,0.034,0.0066,0.008,0.002,0,0,98.9014,15,20,730,60,0.93,0.07,17,314,586
https://doi.org/10.1007/s11661-997-0164-9,0.048,0.6,0.38,0,0.02,0,0,0,0.034,0.0066,0.008,0.002,0,0,98.9014,15,20,730,900,0.915,0.085,15,257,510
doi: 10.1016/j.matchar.2011.05.013,0.05,1.55,0.2,0.17,0.058,1.18,0,0,0,0.0045,0.011,0.0013,0.002,0.021,96.7522,38,25,820,300,0.2,0.8,45,560,750
doi:10.1016/j.msea.2009.05.046,0.11,0.53,0.07,0,0,0.03,0.03,0,0,0,0.02,0.02,0,0,99.19,2,5,840,1200,0.7,0.3,9.2,470,900
doi:10.1016/j.msea.2009.05.046,0.11,0.53,0.07,0,0,0.03,0.03,0,0,0,0.02,0.02,0,0,99.19,2,5,820,1200,0.5,0.5,9.6,480,910
doi:10.1016/j.msea.2009.05.046,0.11,0.53,0.07,0,0,0.03,0.03,0,0,0,0.02,0.02,0,0,99.19,2,5,800,1200,0.3,0.7,10,500,1000
doi:10.1016/j.msea.2009.05.046,0.11,0.53,0.07,0,0,0.03,0.03,0,0,0,0.02,0.02,0,0,99.19,2,5,780,1200,0.22,0.78,11.4,510,1100
doi:10.1016/j.msea.2009.05.046,0.11,0.53,0.07,0,0,0.03,0.03,0,0,0,0.02,0.02,0,0,99.19,2,5,760,1200,0.2,0.8,7,550,1080
https://doi.org/10.1016/S1044-5803(99)00044-3,0.097,0.49,0.6,0,0,0,0,0,0,0,0.01,0.04,0,0,98.763,12,18,820,3600,0.4,0.6,13.3,545,865
doi:10.1016/j.jmatprotec.2005.02.105,0.16,1.23,0,0,0,0,0.03,0.02,0.005,0,0.023,0.018,0,0,98.514,12,18,790,3600,0.1931,0.8069,17.9,687,863
doi:10.1016/j.jmatprotec.2005.02.105,0.15,1.1,0.25,0,0,0,0,0,0,0,0,0,0,0,98.5,50,35,730,600,0.28,0.72,17.6,540,890
https://doi.org/10.1016/0025-5416(87)90507-6,0.12,1.63,0,0,0,0,0,0.01,0.034,0,0.012,0.055,0,0,98.139,1.8,5,900,600,0.163,0.837,18,50,120
DOI: 10.1007/s11661-006-9023-3,0.06,2,0.07,0.15,0.02,0.015,0.04,0.01,0.037,0,0.012,0.002,0,0.014,97.57,1.8,5,755,60,0.18,0.82,17,270,620
DOI: 10.1007/s11661-006-9023-3,0.06,2,0.07,0.15,0.02,0.015,0.04,0.01,0.037,0,0.012,0.002,0,0.014,97.57,1.8,5,780,60,0.29,0.71,15,290,640
DOI: 10.1007/s11661-006-9023-3,0.06,2,0.07,0.15,0.02,0.015,0.04,0.01,0.037,0,0.012,0.002,0,0.014,97.57,1.8,5,795,60,0.32,0.68,14,310,660
DOI: 10.1007/s11661-006-9023-3,0.06,2,0.07,0.15,0.02,0.015,0.04,0.01,0.037,0,0.012,0.002,0,0.014,97.57,1.8,5,820,60,0.44,0.56,13,300,680
